hw_synset_7451	戏剧性、戏剧化	形容词，引人注目的表现或变化。
hw_synset_4741	泯没、消逝、冰释、绝迹、消失	动词，事物逐渐减少或完全消失的状态
hw_synset_4319	概数、约数、荒数	名词，大概的数目。或者用几、多、来、左右、上下等来表示，或者拿数词连用来表示，
hw_synset_14515	发蒙、发懵	动词，感到困惑或不清楚。
hw_synset_14698	心中有数、胸有成竹、心中有底、胸中有数、心里有数	动词，心中有把握，清楚情况。
hw_synset_118	熙熙攘攘、熙攘	形容词，形容人多且热闹的状态
hw_synset_464	落寞、冷清清、冷清、冷落、冷	形容词，形容环境或心情的冷清、寂寞状态
hw_synset_35001	水层	名词，水体的分层结构。
hw_synset_11171	水域	名词，与水相关的区域。
hw_synset_88	分明、显著、透亮、显、显明	形容词，事物显而易见，容易理解或辨认的状态
hw_synset_7356	混淆不清、混混沌沌	形容词，模糊不清的状态。
hw_synset_2175	后面、后代、他日、以后、过后	名词，指未来某个时间或时期的词语
hw_synset_799	日子、代、时期、辰、年岁	名词，与时间相关的概念，表示特定的时段或时间单位
hw_synset_145	香、香喷喷、香甜	形容词，具有香气和甜味的美好状态
hw_synset_244	油腻、腻	形容词，含油脂过多，令人厌倦的状态
hw_synset_4773	往、赴	动词，向某处移动或到达的行为
hw_synset_4957	驾到、光临、降临、到、至	动词，表示从一个地方到达另一个地方的动作或状态
hw_synset_1855	青蛙、蛙、田鸡	名词，生活在水边的两栖动物，善于跳跃和捕食昆虫
hw_synset_1822	走兽、兽	名词，指有四条腿、全身生毛的哺乳动物
hw_synset_892	圣手、老将、高手、泰斗、惯家	名词，在某领域具有高超技能或丰富经验的人。
hw_synset_8976	力巴头、力巴	名词，无能的人。
hw_synset_35735	海上救援局	名词，负责海域救援的组织。
hw_synset_39850	组织	名词，有序的群体或机构。
hw_synset_16235	宽绰、宽、松口气	动词，心情放松、无拘无束的状态。
hw_synset_14548	着慌、心慌意乱、心慌	动词，感到不安和焦虑。
hw_synset_7151	甲级、甲等	形容词，高等级或高标准的分类。
hw_synset_137	微贱、贱、卑微	形容词，指社会地位低下或不被重视的状态
hw_synset_11855	文献	名词，书籍和文书的集合。
hw_synset_2246	案卷、文书、文档、文件、书	名词，分类保存以备查考的各种文件和材料
hw_synset_12450	麦秋	名词，收获农作物的秋季。
hw_synset_47557	黑手党	名词，一个犯罪团体，通常涉及非法活动。
hw_synset_37943	白道	名词，无罪的团体或组织。
hw_synset_262	弱小、弱	形容词，力量或体积小，通常与强大相对。
hw_synset_38	坚挺、显要、强大	形容词，力量强大且具有重要地位的状态
hw_synset_14545	如芒在背、芒刺在背	动词，感到不安和烦躁。
hw_synset_14854	笃定、从容自若	动词，心态平和，毫不紧张。
hw_synset_7822	震耳欲聋、山响、震耳	形容词，声音极其响亮。
hw_synset_7386	轻声、柔声柔气、细声细气、轻声轻气、慢声细语、轻言细语、慢声、柔声细气	形容词，声音轻柔、低沉。
hw_synset_8525	矬子堆里拔大个儿、庸中佼佼	名词，在平庸中表现出色的人。
hw_synset_1244	老帽儿、门外汉、老外、外行	名词，对某一领域缺乏专业知识的人
hw_synset_1207	藤子、藤	名词，某些植物的匍匐或攀缘茎，可用于编制物品
hw_synset_1188	乔木、树	名词，树干高大，主干和分枝有明显的区别的木本植物，
hw_synset_2783	银行、钱庄、票庄	名词，经营存款、贷款、汇兑、储蓄等业务的金融机构。
hw_synset_25817	场所	名词，特定的地点或区域。
hw_synset_4626	补药、补品	名词，滋养身体的食品或药物
hw_synset_2652	物质、物体	名词，由物质构成并占有空间的实体
hw_synset_4778	向上、上进、长进、进步、进展	动词，向前发展或提升的积极状态
hw_synset_14809	日暮途穷、苟延残喘	动词，处于衰退和困境中的状态。
hw_synset_45753	队日	名词，团队中的年轻成员。
hw_synset_1721	事件、事变、事、活、工作	名词，人类进行的各种活动和事件的总称
hw_synset_39346	第一阶段	名词，特定事务的初步阶段。
hw_synset_14856	稳坐钓鱼台、稳坐钓鱼船	动词，保持冷静，处于稳定状态。
hw_synset_14551	空荡荡、空空荡荡	动词，没有物品或人，显得寂静。
hw_synset_14831	栽跟头、踬、撞南墙、跌跤、失利、跌交	动词，遭遇失败或意外跌倒。
hw_synset_14471	自我实现、实现自我	动词，达到个人潜能和目标的过程。
hw_synset_9520	藏青果	名词，一种特定的水果。
hw_synset_1678	果子、水果、果品	名词，可食用的植物果实的统称
hw_synset_2255	迂夫子、书呆子、学究、腐儒、夫子	名词，指思想陈腐、缺乏实际经验的读书人。
hw_synset_7409	烟雾腾腾、烟雾弥漫	形容词，烟雾弥漫的状态。
hw_synset_521	澄碧、清明、明净	形容词，清晰明亮，给人以清爽的感觉
hw_synset_2828	颜色、染料、颜料	名词，用于着色的有色物质，种类繁多。
hw_synset_1181	物质、材料、料	名词，用于制造成品的实物或原料
hw_synset_15000	同出一辙、如出一辙	动词，情况或事物相同。
hw_synset_14848	没有什么不同、没有差别	动词，没有差异的状态。
hw_synset_5017	衰败、没落、中落、落、败落	动词，由兴盛转向衰落或下降的状态
hw_synset_36467	炊烟	名词，烹饪时升起的烟雾。
hw_synset_1996	烟、香烟、烟幕、雾气、雾霭	名词，由物质燃烧或气温变化形成的悬浮颗粒或气体状态
hw_synset_14676	陨落、陨	动词，下降或失去原有状态。
hw_synset_14666	突起、凌	动词，向上升起的状态。
hw_synset_26314	外援	名词，来自外国的支持或帮助。
hw_synset_4780	演进、进化	动词，事物逐渐发展变化的过程
hw_synset_217	无知、闭塞、蔽塞、梼昧、愚昧	形容词，缺乏知识和理解，表现为无知和愚昧。
hw_synset_543	博学、饱学、博雅、渊博、博识	形容词，学识丰富且深广的状态或特征
hw_synset_7178	非故意、不自觉	形容词，没有故意的意图或意识。
hw_synset_7703	自觉、有意识	形容词，有意识地做某事。
hw_synset_14929	隔墙有耳、属垣有耳	动词，墙壁间可能有人偷听。
hw_synset_14493	音信杳然、杳无音讯、音信全无、音信杳无、音信渺然、杳无消息、杳无音信	动词，没有任何消息或联系。
hw_synset_14510	不加可否、不置可否	动词，不表态或不做回应。
hw_synset_4799	上报、申报	动词，向上级或有关部门报告信息的行为
hw_synset_31128	拒绝者	名词，拒绝他人请求的人。
hw_synset_2079	计谋、策略、谋略、计划、心数	名词，与计划、策略和设计相关的思考和安排方式
hw_synset_2020	写字间、部、厅、署、司	名词，机关组织系统中按业务划分的单位(级别一般比局低，比科高)，也指某些机关。
hw_synset_9659	蓁、丛林	名词，树木繁茂的地方。
hw_synset_4217	散工、零工、零活儿	名词，临时或短期的工作或雇佣状态
hw_synset_1790	事、工、活、劳役、事情	名词，人类生活中涉及的各种活动和事务
hw_synset_28372	山岚	名词，山间的雾气。
hw_synset_14541	大惊小怪、一惊一炸	动词，对小事过度反应。
hw_synset_16233	想开、安下心来、安下心	动词，心情平静，放松下来。
hw_synset_5133	借鉴、借镜	动词，通过对比他人或事物以获取经验和教训
hw_synset_5218	参谋、教正、指点、指教	动词，提供建议和指导以帮助他人改进或了解事物
hw_synset_1651	粗工、壮工、小工	名词，从事简单体力劳动的工人，技术要求低。
hw_synset_7551	同胞、胞	形容词，同一血缘关系的兄弟姐妹。
hw_synset_7490	旁支、旁系	形容词，与主系无直接关系的支系。
hw_synset_7362	不雅、不正派、有失检点、不雅观、行为不端、行为不检、越礼	形容词，不符合社会规范的行为或举止。
hw_synset_307	翩然、翩翩	形容词，形容动作轻盈飘逸的样子。
hw_synset_2148	运河、水渠、渠道、渠、沟堑	名词，人工开凿的水道。
hw_synset_322	主动、活跃、积极、能动	形容词，表现出进取和热心的状态或行为
hw_synset_92	被动、消极	形容词，缺乏主动性和积极性的状态
hw_synset_571	平坦、平整、平	形容词，表面没有高低起伏，保持平整状态
hw_synset_514	嶙峋、坑坑洼洼、嶙嶙、坎坷、崎岖	形容词，形容地形不平或处境艰难的状态
hw_synset_12912	皮试	名词，医学检查皮肤反应的测试。
hw_synset_7624	弱智、低智	形容词，智力水平较低的人。
hw_synset_7686	睿、目光如炬、目光远大	形容词，聪明且具有远见的人。
hw_synset_1544	养子、继嗣、螟蛉	名词，继承或被领养的后代或子嗣
hw_synset_2169	外甥女、侄女、表侄女	名词，兄弟姐妹或表亲的女儿，女性亲属关系。
hw_synset_3113	凫、绿头鸭、野鸭	名词，野生的鸭，外形像家鸭而小，趾间有蹼，善于游泳。生活在河湖地带，吃小鱼、贝类及植物的种子等。
hw_synset_6895	满腹珠玑、英俊	形容词，才华横溢且外表出众的人。
hw_synset_37830	病史	名词，过去的疾病记录。
hw_synset_1025	过程、进程、里程、历程、经过	名词，事物发展或进行的连续过程和阶段
hw_synset_708	完全、翻然、尽数、全、通统	副词，没有一个不。
hw_synset_8212	部分地、半	副词，不完全的状态或程度。
hw_synset_5553	超生、行好、饶命	动词，给予宽恕或帮助，免于惩罚或死亡的行为
hw_synset_14612	冷眼相看、冷眼旁观、冷眼相待	动词，以冷漠态度对待他人。
hw_synset_27387	学期	名词，学校的学习时间段。
hw_synset_2485	高士、绅、高人、君子	名词，品行高尚、志趣卓越的人，常指隐士或有德之士。
hw_synset_10535	跳粱小丑、幺麽小丑	名词，卑劣的人，常以滑稽方式取乐。
hw_synset_43398	贫农	名词，生活贫困的农民。
hw_synset_1819	回纥、回鹘、维族、维吾尔族	名词，我国古代民族，主要分布在今新疆及鄂尔浑河流域
hw_synset_3840	族群、部落	名词，由共同文化和血缘关系构成的社会群体
hw_synset_4963	发狠、发愤、奋勉	动词，决心努力，奋发向上的状态
hw_synset_5235	耍奸、耍滑	动词，使用手段以达到省力或逃避责任的目的
hw_synset_1438	去岁、上年	名词，指的是前一年的时间概念
hw_synset_5234	蘑菇、磨蹭、泡	动词，行动缓慢或拖延的状态
hw_synset_4960	出力、拼命、拼、奋斗、放手	动词，全力以赴、努力争取的行为或状态
hw_synset_6101	激增、飙涨、劲升、飞涨、飙升	动词，价格或数量等急速上升的状态
hw_synset_15966	狂泻、猛跌、狂跌、暴跌、劲减	动词，价格或经济快速大幅下降。
hw_synset_7134	诡谲、云谲波诡	形容词，变化多端的状态或情形。
hw_synset_6968	铁杵磨成针、滴水穿石	形容词，坚持不懈，最终能实现目标。
hw_synset_11102	党纪	名词，政党内部的规章制度。
hw_synset_3124	洞穴、坑、地洞、窟穴、穴	名词，地面或建筑物上凹陷或空洞的地方
hw_synset_3296	水土、原、地面、土、陆地	名词，地球表面的一部分，通常用于种植或居住。
hw_synset_35283	油嘴	名词，善于花言巧语的人。
hw_synset_7939	懵、惛	形容词，神志不清，思维混乱。
hw_synset_7873	头脑清醒、清醒、思路清晰	形容词，思维敏捷、理智清晰。
hw_synset_21115	公开信	名词，公开发表的信件。
hw_synset_2249	信札、信函、尺牍、函件、信件	名词，以书面形式传达信息的文书或文件
hw_synset_7109	扰攘、哄闹	形容词，喧闹的场景或状态。
hw_synset_2057	面粉、面、白面	名词，小麦磨成的粉，广泛用于烹饪和烘焙。
hw_synset_1321	农作物、庄稼、作物	名词，农业中栽种的植物，通常用于粮食生产
hw_synset_3969	歧路、岔路	名词，从主路分出的不同方向的道路
hw_synset_1471	马路、路、路途、弹道、通道	名词，供人或车辆通行的各种形式的道路或路径
hw_synset_4570	群英、群雄	名词，众多杰出人物或英雄的集合
hw_synset_6056	惹、刺激、触怒、刺、怄	动词，引起愤怒或不快的情绪状态
hw_synset_5346	吹捧、谄媚、献媚、趋奉、谄谀	动词，为了迎合他人而进行的奉承和讨好行为
hw_synset_1866	黄猺、青鼬	名词，外形似家猫的哺乳动物，食物包括鼠类和蜜蜂。
hw_synset_1427	小车、汽车、轿车	名词，用于交通的四轮机动车，供人乘坐。
hw_synset_1423	洋车、人力车、黄包车	名词，用于载人的各种类型的车。
hw_synset_30391	战绩	名词，军事上的成就或记录。
hw_synset_976	成果、造就、成就、成绩、业绩	名词，工作或学习中取得的收获和成就
hw_synset_22295	刺耳	形容词，发出令人不悦的声音。
hw_synset_292	中听、入耳	形容词，(话)听起来满意。
hw_synset_6896	幽长、幽幽	形容词，深远而悠长的感觉。
hw_synset_36043	清欠办	名词，处理债务事务的机构。
hw_synset_39218	立秋	名词，秋季的开始，标志着夏天的结束。
hw_synset_41426	艳诗	名词，表达爱情情感的文学作品。
hw_synset_6543	款步、缓行	动词，以缓慢的方式移动或行走
hw_synset_16376	疾步、急步	动词，快速行走。
hw_synset_8251	赶不上趟、赶不上、赶不上趟儿、未及	副词，未能及时到达或参与。
hw_synset_747	先、预先	副词，表示某一行为或事件发生在前。
hw_synset_40900	能耗	名词，能源消耗的量。
hw_synset_4159	火镰、燧石	名词，取火的用具，用钢制成，形状像镰刀，打在火石上，发出火星，点着火绒。
hw_synset_1748	总统、主席	名词，国家或组织的最高领导职位名称
hw_synset_9504	开心果	名词，一种坚果，味道鲜美。
hw_synset_2326	肉搏战、白刃战	名词，敌对双方近距离进行的激烈格斗方式
hw_synset_43344	败选	动词，未能赢得选举或竞争。
hw_synset_5199	入选、中选、入围	动词，选举或选择时被选上。
hw_synset_7332	油乎乎、油渍渍	形容词，表面油腻、不干净的状态。
hw_synset_55	卫生、清洁、净、洁净、干净	形容词，没有尘垢、杂质，保持干净整洁的状态
hw_synset_27139	妙笔	名词，出色的写作技巧。
hw_synset_1953	法门、路、工、艺术、手段	名词，解决问题或处理事情的各种方法和技巧
hw_synset_24733	向右	副词，朝右侧移动。
hw_synset_24738	向左	副词，朝左侧移动。
hw_synset_8524	巧匠、能工巧匠、巧手	名词，技艺高超的人。
hw_synset_8700	劳务费	名词，为提供劳务而支付的费用。
hw_synset_1033	待遇、酬金、薪酬、薪俸、薪金	名词，作为劳动报酬按期支付的货币或实物
hw_synset_814	药物、医药、药、药剂、药品	名词，用于治疗和预防疾病的物品和制剂
hw_synset_41752	药草	名词，用于治疗的植物材料。
hw_synset_7559	人烟稀少、人口稀少	形容词，人群稀少的地区。
hw_synset_7558	人口稠密、人烟稠密	形容词，人群聚集的地方。
hw_synset_11150	公信力	名词，公众信任的能力。
hw_synset_2438	见识、经历、体会、经验、感受	名词，通过实践和经历获得的知识和理解
hw_synset_7000	家徒四壁、家徒壁立	形容词，一贫如洗的家庭状态。
hw_synset_27891	富甲一方	形容词，极其富有的人。
hw_synset_24793	听觉	名词，感知声音的能力。
hw_synset_15300	奔逸、奔窜	动词，快速逃跑。
hw_synset_6384	追赶、追逐、奔逐、追	动词，快速接近或赶上某物的行为
hw_synset_2713	尚书、大臣、臣子	名词，君主或国家的高级官员及其职务相关者
hw_synset_209	鬼、可恨、够戗、讨厌、可恶	形容词，令人厌恶或痛恨的情感或状态
hw_synset_7507	对劲儿、合意	形容词，符合心意的状态或感觉。
hw_synset_13863	畜产品、畜产	名词，来自牲畜的产品。
hw_synset_2298	家畜、畜生、畜牲、牲畜、牲口	名词，与人类经济活动相关的驯养动物或禽兽
hw_synset_16232	安、定、心平气和	动词，心情平静、无忧无虑的状态。
hw_synset_1266	二老、椿萱、双亲、父母、高堂	名词，指父亲和母亲的称呼或代称
hw_synset_15302	落荒而走、落荒而逃	动词，匆忙逃跑。
hw_synset_14486	踪迹全无、不知去向、杳无踪迹	动词，失去踪影，无法找到。
hw_synset_15321	出头露面、出头	动词，显露身份或地位。
hw_synset_4698	霸、霸主	名词，依靠权势压迫他人的强横人物或势力。
hw_synset_15797	离辙、离弦走板、离格儿	动词，偏离常规或标准的状态。
hw_synset_14466	习、一一对应	动词，相互匹配的关系。
hw_synset_3157	断面、截面、剖面、切面	名词，物体切断后显示的表面或形状
hw_synset_1667	黄毒、色情	名词，与性欲和淫秽内容相关的概念
hw_synset_6175	弄、取、采取	动词，获取或取得某物的行为或过程
hw_synset_15256	予、加上	动词，给予或添加某物。
hw_synset_6891	文武兼备、文武双全、文武全才	形容词，具备文才与武艺的人。
hw_synset_65	生疏、手生	形容词，因长时间未接触而变得不熟练的状态
hw_synset_9531	主义	名词，一种政治或思想体系。
hw_synset_8588	体、律、制、制度	名词，一套规则或组织结构。
hw_synset_12703	家累	名词，家庭责任。
hw_synset_2168	职责、事、担子、包袱、责任	名词，与应尽的责任和义务相关的概念
hw_synset_10621	南端、南头	名词，位于南方的地方。
hw_synset_1573	去处、所在、驻地、地位、场地	名词，指人或物存在或占据的空间或位置
hw_synset_6943	一过性、一时	形容词，短暂的状态或情况。
hw_synset_6961	世世代代、生生世世、万世、世代、累世	形容词，长时间的世代传承。
hw_synset_26529	大型机	名词，大型计算机系统。
hw_synset_4017	计算机、电脑	名词，用于处理信息和进行计算的电子设备
hw_synset_17640	上	形容词，位置在更高处。
hw_synset_7171	往下、下方、向下	形容词，朝着低处的方向。
hw_synset_5906	冰冻、冷却、冻、镇、激	动词，通过低温使物体或食物变凉的过程
hw_synset_5668	加热、烧	动词，通过热源提高物体温度的过程
hw_synset_902	虐政、暴政	名词，指残暴统治者对人民实施残酷剥削和镇压的政治手段。
hw_synset_293	婉转、宛转、哀婉	形容词，(声音)悲伤而婉转。
hw_synset_10273	电、电报	名词，通过电信传递信息的方式。
hw_synset_7138	游走、游走性	形容词，变化不定的状态或行为。
hw_synset_40997	腠	名词，动物体内的肉质部分。
hw_synset_2673	印迹、残迹、影、影子、痕迹	名词，痕迹。
hw_synset_15099	蹉跎岁月、岁月蹉跎	动词，虚度光阴，浪费时间。
hw_synset_14761	干劲冲天、干劲十足、憋足劲儿	动词，充满干劲和努力的状态。
hw_synset_8134	打早、很久以前、早就、早已	副词，很久之前的时间。
hw_synset_8209	当前、那回	副词，此时此刻。
hw_synset_16199	瞻望、瞻、向前看	动词，展望未来的态度。
hw_synset_16200	回头看、向后看	动词，向后观察的动作。
hw_synset_42219	补白	名词，补充或修正文本内容。
hw_synset_45458	铸件	名词，金属材料经过铸造工艺形成的物品。
hw_synset_44568	逆耳	形容词，难以接受的刺耳声音。
hw_synset_294	圆浑、圆润	形容词，(声音)婉转而圆润自然。
hw_synset_25988	基点	名词，测量的参考位置。
hw_synset_488	颖悟、神	形容词，聪明、机灵，具有较强的悟性和理解能力
hw_synset_7625	昏聩、昏愦	形容词，愚蠢而无知的状态。
hw_synset_7577	伸缩、富有弹性、弹性、圆活、有伸缩性、从权	形容词，具有适应变化的能力。
hw_synset_29	封建、守旧、抱残守缺	形容词，对旧观念和做法的固守与不愿改变
hw_synset_7071	穷凶极恶、伤天害理	形容词，极其恶劣、残忍的行为。
hw_synset_6936	含情脉脉、脉脉、脉脉含情	形容词，含有深情的目光。
hw_synset_10002	果实、实	名词，植物的成熟部分。
hw_synset_1816	植株、植物、植被	名词，与植物相关的生物体及其群落
hw_synset_2342	哥、哥哥	名词，同族中年长男性的称呼
hw_synset_5458	忌恨、嫉恨	动词，因忌妒而产生的愤恨和怨恨情绪
hw_synset_4754	抬爱、稀罕、爱护、爱、心疼	动词，对人或事物的珍惜、重视和喜爱之情
hw_synset_7631	有头有脸、有威信	形容词，有声望和影响力的人。
hw_synset_154	难看、不名誉、寒碜、丑、可耻	形容词，与羞耻、不体面相关的负面形象或状态
hw_synset_2053	谷子、小米	名词，一种粮食作物，去壳后称为小米，常用于食用。
hw_synset_38876	种子	名词，体育比赛中的团体成员。
hw_synset_985	派系、集团、宗派、门户、圈子	名词，由共同目的或特征组成的集体或团体
hw_synset_7232	没什么了不得、没什么了不起	形容词，不值得关注的事物。
hw_synset_299	地覆天翻、翻天覆地	形容词，形容事物发生了极大的变化或变动
hw_synset_12780	小淘气	名词，调皮捣蛋的孩子。
hw_synset_4035	请柬、请帖	名词，邀请他人参加活动的通知或文书
hw_synset_5409	交代、坦白、供	动词，如实陈述事情或错误的行为
hw_synset_6232	否认、抵赖、否定、赖、狡赖	动词，拒绝承认或承认错误的行为或态度
hw_synset_7104	视若路人、见外、视同路人、形同路人	形容词，对他人漠不关心，像陌生人一样。
hw_synset_7026	血肉相连、血脉相通、血脉相连	形容词，亲密的血缘关系。
hw_synset_21358	内因	名词，内部产生的原因。
hw_synset_2869	诱因、根由、缘由、根、原因	名词，导致某种结果或事件发生的原因或条件
hw_synset_2787	散打、跆拳道	名词，以踢打为主的徒手搏击运动
hw_synset_10881	蜡纸	名词，用于书写的特殊材料。
hw_synset_987	邦联、联盟、联邦	名词，由多个独立体组成的联合体，旨在实现共同目标。
hw_synset_14549	心神不安、心神不宁、心神不定、心绪不宁	动词，内心感到不安定。
hw_synset_620	热、热乎乎	形容词，温度高或感觉温暖的状态
hw_synset_7694	冷丝丝、寒丝丝	形容词，感觉寒冷的状态。
hw_synset_38081	盖世太保	名词，德国纳粹时期的秘密警察组织。
hw_synset_46817	风寒	名词，因风引起的寒冷天气。
hw_synset_2642	天时、天色、天气、气候、天象	名词，与大气变化和气象现象相关的概念
hw_synset_24649	名宿	名词，著名的老年人。
hw_synset_18244	丑	名词，外貌不美观的状态。
hw_synset_17689	上水	形容词，水位上升。
hw_synset_5132	学习、修、专修、攻、研习	动词，获取知识和技能的过程或行为
hw_synset_2046	秕谷、秕子	名词，指空的或不充实的谷物或种子。
hw_synset_7056	势不可当、锐不可当、势不可挡	形容词，无法抵挡的强大力量。
hw_synset_183	和平、平和、温和	形容词，性情温和，态度亲切，给人以舒适感。
hw_synset_3951	耆宿、耆老	名词，受尊敬的老年人，通常德行高尚或有名望。
hw_synset_10213	伢、伢子	名词，小孩或年轻人。
hw_synset_4545	题目、题、问题	名词，需要解决或讨论的事情或问题
hw_synset_26120	壁炉	名词，用于取暖的建筑设施。
hw_synset_2564	建筑物、建筑	名词，供人们生产、生活的人工建造场所
hw_synset_2813	瞎话、谎、谎言、鬼话、谎话	名词，不真实或骗人的言语，通常用于误导他人
hw_synset_3267	山歌、歌谣、民歌	名词，民间流传的短小歌曲或韵语，常伴随劳动而唱。
hw_synset_1429	曲、音乐、乐曲	名词，以乐音表达思想感情的艺术作品
hw_synset_43148	课文	名词，用于教学和学习的文本。
hw_synset_28768	帮凶	名词，协助犯罪的人。
hw_synset_4168	报社、报馆	名词，编辑和出版报纸的机构。
hw_synset_7502	淑、娴淑	形容词，温文尔雅的女性。
hw_synset_205	恶毒、黑、阴损、绝情、辣	形容词，指性情、行为残忍、阴险或恶劣的状态。
hw_synset_7243	雄心勃勃、挑战性、野心勃勃	形容词，有强烈追求和目标的人。
hw_synset_412	软弱、优柔、脆弱	形容词，缺乏决断和坚强的状态
hw_synset_2644	傻子、痴子、戆头、愚氓、白痴	名词，智力低下或不明事理的人，常用于贬义。
hw_synset_26740	天险	名词，难以攻克的险要地形。
hw_synset_1705	去处、地域、地方、路、地头	名词，指特定的空间或范围，通常用于描述地理位置。
hw_synset_6268	谬奖、过誉、过奖	动词，对他人过分的赞美或夸奖的谦辞表达
hw_synset_5243	批判、褒贬、针砭、敲打、批	动词，指出错误或缺点以促使改正的行为
hw_synset_7282	不合时宜、不合时宜的话、不合时令	形容词，不适合当下时机的言论或行为。
hw_synset_7922	时鲜、正当时令、应时、当令	形容词，适合当前季节的食物。
hw_synset_14902	淡然处之、淡然置之	动词，对待事物不以为意。
hw_synset_5681	照顾、兼顾、顾及	动词，同时关注和照顾多个方面的行为
hw_synset_16542	并非、非	动词，不是，否定的意思。
hw_synset_5063	为、是、属	动词，表示事物之间的关系或同一性
hw_synset_26635	大计	名词，重要的计划或策略。
hw_synset_19037	乱民	名词，普通人群中的暴动者。
hw_synset_3967	本题、议题	名词，讨论或表达的主要主题或论点
hw_synset_28797	常衡	名词，用于测量和规范重量的标准。
hw_synset_33561	期中	名词，教育过程中的中间阶段。
hw_synset_26131	壬	名词，中国的第九个天干。
hw_synset_5610	借用、借、贷	动词，暂时使用他人物品或金钱的行为
hw_synset_5754	出借、借、贷	动词，暂时提供物品或金钱供他人使用
hw_synset_4687	陈酿、陈酒	名词，存放时间长，味道醇厚的酒类
hw_synset_2368	老酒、葡萄酒、酒、杯中物	名词，由粮食或水果发酵而成的含酒精饮料
hw_synset_24597	同年	名词，同一年的时间。
hw_synset_7615	懦、懦弱	形容词，缺乏勇气或决心的人。
hw_synset_3254	茶汤、茶、茶水	名词，用茶叶制成的饮品，通常供人饮用。
hw_synset_1513	酒水、饮料、饮品	名词，供人饮用的液体，包括酒和其他饮品。
hw_synset_11298	初冬、冬初	名词，冬季的早期阶段。
hw_synset_855	优盘、闪盘	名词，利用闪存技术的便携式存储设备
hw_synset_22929	十分经常	副词，非常频繁。
hw_synset_8252	难得、极少	副词，很少发生的情况。
